title,price,image_link
"
Сотовый телефон Xiaomi 12X 8/256GB голубой
","
46920 сом
",/images/product/104271/1647325756_04816700.jpg
"
Сотовый телефон Samsung Galaxy S22 8/128GB розовый
","
55040 сом
",/images/product/105295/1649753441_00343800.jpg
"
Сотовый телефон Apple iPhone 13 Pro Max 1TB зеленый
","
122160 сом
",/images/product/106575/1652679756_55623100.png
"
Сотовый телефон Apple iPhone 14 Plus 128GB красный
","

 81060 сом
-1%

80610 сом
",/images/product/112975/1667069193_33978200.jpg
"
Сотовый телефон Xiaomi Poco M5 4/128GB желтый
","
15080 сом
",/images/product/115279/1671510549_41357400.jpg
"
Сотовый телефон Itel A48 2/32GB зеленый
","
5820 сом
",/images/product/104272/1647329030_31470000.jpg
"
Сотовый телефон Samsung Galaxy S22 8/128GB зеленый 
","
55040 сом
",/images/product/105296/1649753870_42409800.jpg
"
Сотовый телефон Apple iPhone 14 Plus 256GB фиолетовый
","

 89790 сом
-1%

88740 сом
",/images/product/112976/1667069679_17083300.jpg
"
Сотовый телефон Xiaomi Poco M5 4/128GB зеленый
","
15080 сом
",/images/product/115280/1671510552_67112300.jpg
"
Сотовый телефон Itel A48 2/32GB черный
","
5820 сом
",/images/product/104273/1647329046_59522700.jpg
"
Сотовый телефон Samsung Galaxy S22 8/128GB серый
","
55040 сом
",/images/product/105297/1649754043_99416300.jpg
"
Сотовый телефон Xiaomi Redmi A1 Plus 2/32 черный
","

 7670 сом
-3%

7410 сом
",/images/product/111953/1665140516_39342400.jpg
"
Сотовый телефон Apple iPhone 14 Plus 256GB сияющая звезда
","

 89790 сом
-1%

88740 сом
",/images/product/112977/1667069774_95840800.jpg
"
Сотовый телефон Samsung A04e 3/32GB черный
","
8910 сом
",/images/product/115281/1671517415_62744800.jpg
"
Сотовый телефон Itel Vision 1 Pro 2/32GB черный
","
6260 сом
",/images/product/104274/1647330050_96188500.jpg
"
Сотовый телефон Samsung Galaxy S22 8/128GB голубой
","
55040 сом
",/images/product/105298/1649754174_37540500.jpg
"
Сотовый телефон Samsung Galaxy A33 5G 6/128GB черный
","
23750 сом
",/images/product/106578/1652691752_34677700.jpg
"
Сотовый телефон Xiaomi Redmi A1 Plus 2/32 голубой
","

 7670 сом
-3%

7410 сом
",/images/product/111954/1665140628_84348900.jpg
"
Сотовый телефон Apple iPhone 14 Plus 256GB голубой
","

 89790 сом
-1%

88740 сом
",/images/product/112978/1667069873_64341600.jpg
"
Сотовый телефон Samsung Galaxy S22 8/128GB фиолетовый
","
55040 сом
",/images/product/105299/1649754295_98434800.jpg
